id	knockdown_method	target	cell	cell_type	db	platform	rep	sign
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k1	-1
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k2	-1
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.c1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	c1	1
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.c2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	c2	1
siRNA.RAD21.K562.Haematopoietic_Cell_line.ENCODE.ENCSR051NHG.k1	siRNA	RAD21	K562	Haematopoietic_Cell_line	ENCODE	ENCSR051NHG	k1	-1
siRNA.RAD21.K562.Haematopoietic_Cell_line.ENCODE.ENCSR051NHG.k2	siRNA	RAD21	K562	Haematopoietic_Cell_line	ENCODE	ENCSR051NHG	k2	-1
siRNA.RAD21.K562.Haematopoietic_Cell_line.ENCODE.ENCSR051NHG.k3	siRNA	RAD21	K562	Haematopoietic_Cell_line	ENCODE	ENCSR051NHG	k3	-1
siRNA.RAD21.K562.Haematopoietic_Cell_line.ENCODE.ENCSR051NHG.c1	siRNA	RAD21	K562	Haematopoietic_Cell_line	ENCODE	ENCSR051NHG	c1	1
siRNA.RAD21.K562.Haematopoietic_Cell_line.ENCODE.ENCSR051NHG.c2	siRNA	RAD21	K562	Haematopoietic_Cell_line	ENCODE	ENCSR051NHG	c2	1
shRNA.XRCC5.HepG2.Liver_Cell_line.ENCODE.ENCSR732IYM.k1	shRNA	XRCC5	HepG2	Liver_Cell_line	ENCODE	ENCSR732IYM	k1	-1
shRNA.XRCC5.HepG2.Liver_Cell_line.ENCODE.ENCSR732IYM.k2	shRNA	XRCC5	HepG2	Liver_Cell_line	ENCODE	ENCSR732IYM	k2	-1
shRNA.XRCC5.HepG2.Liver_Cell_line.ENCODE.ENCSR732IYM.c1	shRNA	XRCC5	HepG2	Liver_Cell_line	ENCODE	ENCSR732IYM	c1	1
shRNA.XRCC5.HepG2.Liver_Cell_line.ENCODE.ENCSR732IYM.c2	shRNA	XRCC5	HepG2	Liver_Cell_line	ENCODE	ENCSR732IYM	c2	1
shRNA.HNRNPLL.HepG2.Liver_Cell_line.ENCODE.ENCSR490DYI.k1	shRNA	HNRNPLL	HepG2	Liver_Cell_line	ENCODE	ENCSR490DYI	k1	-1
shRNA.HNRNPLL.HepG2.Liver_Cell_line.ENCODE.ENCSR490DYI.k2	shRNA	HNRNPLL	HepG2	Liver_Cell_line	ENCODE	ENCSR490DYI	k2	-1
shRNA.HNRNPLL.HepG2.Liver_Cell_line.ENCODE.ENCSR490DYI.c1	shRNA	HNRNPLL	HepG2	Liver_Cell_line	ENCODE	ENCSR490DYI	c1	1
shRNA.HNRNPLL.HepG2.Liver_Cell_line.ENCODE.ENCSR490DYI.c2	shRNA	HNRNPLL	HepG2	Liver_Cell_line	ENCODE	ENCSR490DYI	c2	1
CRISPRi.BACH1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR190RZZ.k1	CRISPRi	BACH1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR190RZZ	k1	-1
CRISPRi.BACH1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR190RZZ.k2	CRISPRi	BACH1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR190RZZ	k2	-1
CRISPRi.BACH1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR190RZZ.c1	CRISPRi	BACH1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR190RZZ	c1	1
CRISPRi.BACH1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR190RZZ.c2	CRISPRi	BACH1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR190RZZ	c2	1
shRNA.PTBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR064DXG.k1	shRNA	PTBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR064DXG	k1	-1
shRNA.PTBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR064DXG.k2	shRNA	PTBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR064DXG	k2	-1
shRNA.PTBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR064DXG.c1	shRNA	PTBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR064DXG	c1	1
shRNA.PTBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR064DXG.c2	shRNA	PTBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR064DXG	c2	1
shRNA.FUS.K562.Haematopoietic_Cell_line.ENCODE.ENCSR325OOM.k1	shRNA	FUS	K562	Haematopoietic_Cell_line	ENCODE	ENCSR325OOM	k1	-1
shRNA.FUS.K562.Haematopoietic_Cell_line.ENCODE.ENCSR325OOM.k2	shRNA	FUS	K562	Haematopoietic_Cell_line	ENCODE	ENCSR325OOM	k2	-1
shRNA.FUS.K562.Haematopoietic_Cell_line.ENCODE.ENCSR325OOM.c1	shRNA	FUS	K562	Haematopoietic_Cell_line	ENCODE	ENCSR325OOM	c1	1
shRNA.FUS.K562.Haematopoietic_Cell_line.ENCODE.ENCSR325OOM.c2	shRNA	FUS	K562	Haematopoietic_Cell_line	ENCODE	ENCSR325OOM	c2	1
CRISPRi.USF1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR545HTM.k1	CRISPRi	USF1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR545HTM	k1	-1
CRISPRi.USF1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR545HTM.k2	CRISPRi	USF1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR545HTM	k2	-1
CRISPRi.USF1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR545HTM.c1	CRISPRi	USF1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR545HTM	c1	1
CRISPRi.USF1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR545HTM.c2	CRISPRi	USF1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR545HTM	c2	1
shRNA.PCBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR635FRH.k1	shRNA	PCBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR635FRH	k1	-1
shRNA.PCBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR635FRH.k2	shRNA	PCBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR635FRH	k2	-1
shRNA.PCBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR635FRH.c1	shRNA	PCBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR635FRH	c1	1
shRNA.PCBP1.HepG2.Liver_Cell_line.ENCODE.ENCSR635FRH.c2	shRNA	PCBP1	HepG2	Liver_Cell_line	ENCODE	ENCSR635FRH	c2	1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR385UPQ.k1	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR385UPQ	k1	-1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR385UPQ.k2	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR385UPQ	k2	-1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR385UPQ.c1	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR385UPQ	c1	1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR385UPQ.c2	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR385UPQ	c2	1
shRNA.SAFB2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR770LYW.k1	shRNA	SAFB2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR770LYW	k1	-1
shRNA.SAFB2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR770LYW.k2	shRNA	SAFB2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR770LYW	k2	-1
shRNA.SAFB2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR770LYW.c1	shRNA	SAFB2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR770LYW	c1	1
shRNA.SAFB2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR770LYW.c2	shRNA	SAFB2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR770LYW	c2	1
CRISPRi.NR4A1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR357LVC.k1	CRISPRi	NR4A1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR357LVC	k1	-1
CRISPRi.NR4A1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR357LVC.k2	CRISPRi	NR4A1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR357LVC	k2	-1
CRISPRi.NR4A1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR357LVC.c1	CRISPRi	NR4A1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR357LVC	c1	1
CRISPRi.NR4A1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR357LVC.c2	CRISPRi	NR4A1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR357LVC	c2	1
siRNA.BHLHE40.K562.Haematopoietic_Cell_line.ENCODE.ENCSR626SFM.k1	siRNA	BHLHE40	K562	Haematopoietic_Cell_line	ENCODE	ENCSR626SFM	k1	-1
siRNA.BHLHE40.K562.Haematopoietic_Cell_line.ENCODE.ENCSR626SFM.k2	siRNA	BHLHE40	K562	Haematopoietic_Cell_line	ENCODE	ENCSR626SFM	k2	-1
siRNA.BHLHE40.K562.Haematopoietic_Cell_line.ENCODE.ENCSR626SFM.c1	siRNA	BHLHE40	K562	Haematopoietic_Cell_line	ENCODE	ENCSR626SFM	c1	1
siRNA.BHLHE40.K562.Haematopoietic_Cell_line.ENCODE.ENCSR626SFM.c2	siRNA	BHLHE40	K562	Haematopoietic_Cell_line	ENCODE	ENCSR626SFM	c2	1
shRNA.YBX3.HepG2.Liver_Cell_line.ENCODE.ENCSR494VSD.k1	shRNA	YBX3	HepG2	Liver_Cell_line	ENCODE	ENCSR494VSD	k1	-1
shRNA.YBX3.HepG2.Liver_Cell_line.ENCODE.ENCSR494VSD.k2	shRNA	YBX3	HepG2	Liver_Cell_line	ENCODE	ENCSR494VSD	k2	-1
shRNA.YBX3.HepG2.Liver_Cell_line.ENCODE.ENCSR494VSD.c1	shRNA	YBX3	HepG2	Liver_Cell_line	ENCODE	ENCSR494VSD	c1	1
shRNA.YBX3.HepG2.Liver_Cell_line.ENCODE.ENCSR494VSD.c2	shRNA	YBX3	HepG2	Liver_Cell_line	ENCODE	ENCSR494VSD	c2	1
shRNA.RBFOX2.HepG2.Liver_Cell_line.ENCODE.ENCSR767LLP.k1	shRNA	RBFOX2	HepG2	Liver_Cell_line	ENCODE	ENCSR767LLP	k1	-1
shRNA.RBFOX2.HepG2.Liver_Cell_line.ENCODE.ENCSR767LLP.k2	shRNA	RBFOX2	HepG2	Liver_Cell_line	ENCODE	ENCSR767LLP	k2	-1
shRNA.RBFOX2.HepG2.Liver_Cell_line.ENCODE.ENCSR767LLP.c1	shRNA	RBFOX2	HepG2	Liver_Cell_line	ENCODE	ENCSR767LLP	c1	1
shRNA.RBFOX2.HepG2.Liver_Cell_line.ENCODE.ENCSR767LLP.c2	shRNA	RBFOX2	HepG2	Liver_Cell_line	ENCODE	ENCSR767LLP	c2	1
shRNA.RBM25.HepG2.Liver_Cell_line.ENCODE.ENCSR610AEI.k1	shRNA	RBM25	HepG2	Liver_Cell_line	ENCODE	ENCSR610AEI	k1	-1
shRNA.RBM25.HepG2.Liver_Cell_line.ENCODE.ENCSR610AEI.k2	shRNA	RBM25	HepG2	Liver_Cell_line	ENCODE	ENCSR610AEI	k2	-1
shRNA.RBM25.HepG2.Liver_Cell_line.ENCODE.ENCSR610AEI.c1	shRNA	RBM25	HepG2	Liver_Cell_line	ENCODE	ENCSR610AEI	c1	1
shRNA.RBM25.HepG2.Liver_Cell_line.ENCODE.ENCSR610AEI.c2	shRNA	RBM25	HepG2	Liver_Cell_line	ENCODE	ENCSR610AEI	c2	1
shRNA.RBM15.HepG2.Liver_Cell_line.ENCODE.ENCSR599PXD.k1	shRNA	RBM15	HepG2	Liver_Cell_line	ENCODE	ENCSR599PXD	k1	-1
shRNA.RBM15.HepG2.Liver_Cell_line.ENCODE.ENCSR599PXD.k2	shRNA	RBM15	HepG2	Liver_Cell_line	ENCODE	ENCSR599PXD	k2	-1
shRNA.RBM15.HepG2.Liver_Cell_line.ENCODE.ENCSR599PXD.c1	shRNA	RBM15	HepG2	Liver_Cell_line	ENCODE	ENCSR599PXD	c1	1
shRNA.RBM15.HepG2.Liver_Cell_line.ENCODE.ENCSR599PXD.c2	shRNA	RBM15	HepG2	Liver_Cell_line	ENCODE	ENCSR599PXD	c2	1
CRISPRi.FOXM1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR701TVL.k1	CRISPRi	FOXM1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR701TVL	k1	-1
CRISPRi.FOXM1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR701TVL.k2	CRISPRi	FOXM1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR701TVL	k2	-1
CRISPRi.FOXM1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR701TVL.c1	CRISPRi	FOXM1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR701TVL	c1	1
CRISPRi.FOXM1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR701TVL.c2	CRISPRi	FOXM1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR701TVL	c2	1
siRNA.RCOR1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR390GWL.k1	siRNA	RCOR1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR390GWL	k1	-1
siRNA.RCOR1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR390GWL.k2	siRNA	RCOR1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR390GWL	k2	-1
siRNA.RCOR1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR390GWL.c1	siRNA	RCOR1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR390GWL	c1	1
siRNA.RCOR1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR390GWL.c2	siRNA	RCOR1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR390GWL	c2	1
CRISPRi.GATA1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR850LOZ.k1	CRISPRi	GATA1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR850LOZ	k1	-1
CRISPRi.GATA1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR850LOZ.k2	CRISPRi	GATA1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR850LOZ	k2	-1
CRISPRi.GATA1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR850LOZ.c1	CRISPRi	GATA1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR850LOZ	c1	1
CRISPRi.GATA1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR850LOZ.c2	CRISPRi	GATA1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR850LOZ	c2	1
shRNA.XRCC5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715XZS.k1	shRNA	XRCC5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715XZS	k1	-1
shRNA.XRCC5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715XZS.k2	shRNA	XRCC5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715XZS	k2	-1
shRNA.XRCC5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715XZS.c1	shRNA	XRCC5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715XZS	c1	1
shRNA.XRCC5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715XZS.c2	shRNA	XRCC5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715XZS	c2	1
CRISPRi.HMGN2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR243VNX.k1	CRISPRi	HMGN2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR243VNX	k1	-1
CRISPRi.HMGN2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR243VNX.k2	CRISPRi	HMGN2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR243VNX	k2	-1
